Id,WnvPresent
1,0.026556783709618212
2,0.010955776404045723
3,0.020130690132215193
4,0.010791046032221356
5,0.009907529585022832
6,0.020815241618036374
7,0.020815241618036374
8,0.008600810844854452
9,0.006640614759035365
10,0.004722030309971755
11,0.007329436499052908
12,0.003096710623261013
13,0.0026711003709090787
14,0.005947016115712099
15,0.005947016115712099
16,0.002435592079758547
17,0.04328302220306345
18,0.02047764125223233
19,0.03932727310210859
20,0.018797395259897712
21,0.016249063978131938
22,0.03558325798158836
23,0.03558325798158836
24,0.01501312195882014
25,0.009091388279208619
26,0.006872983148445748
27,0.009678327938980677
28,0.0040947202585157
29,0.003532430129599766
30,0.00785638452509844
31,0.00785638452509844
32,0.0032493630690139503
33,0.00802327747979595
34,0.006063908937333431
35,0.008541854375974938
36,0.0036115084280348786
37,0.0031153657484869098
38,0.006932354287839302
39,0.006932354287839302
40,0.0028656235315290424
41,0.00802327747979595
42,0.006063908937333431
43,0.008541854375974938
44,0.0036115084280348786
45,0.0031153657484869098
46,0.006932354287839302
47,0.006932354287839302
48,0.0028656235315290424
49,0.00802327747979595
50,0.006063908937333431
51,0.008541854375974938
52,0.0036115084280348786
53,0.0031153657484869098
54,0.006932354287839302
55,0.006932354287839302
56,0.0028656235315290424
57,0.009091388279208619
58,0.006872983148445748
59,0.009678327938980677
60,0.0040947202585157
61,0.003532430129599766
62,0.00785638452509844
63,0.00785638452509844
64,0.0032493630690139503
65,0.01048850368854576
66,0.006976334316238519
67,0.010252502156802415
68,0.004465441442036592
69,0.004097688229900136
70,0.008665024444767
71,0.008665024444767
72,0.0035855263579820445
73,0.014718364958930454
74,0.00980382205748162
75,0.014388571397838685
76,0.006281709239037474
77,0.005765242797598204
78,0.01216854639877481
79,0.01216854639877481
80,0.005045712585348434
81,0.00802327747979595
82,0.006063908937333431
83,0.008541854375974938
84,0.0036115084280348786
85,0.0031153657484869098
86,0.006932354287839302
87,0.006932354287839302
88,0.0028656235315290424
89,0.012125732976861736
90,0.009173766950112357
91,0.012296057427781604
92,0.005470582355471331
93,0.004541167654137589
94,0.010482894613345504
95,0.010482894613345504
96,0.004342416223212578
97,0.012091960624969393
98,0.008047225952073198
99,0.01182031074244356
100,0.005152902309397844
101,0.004728801910428648
102,0.009992527443154958
103,0.009992527443154958
104,0.004138086161516654
105,0.00802327747979595
106,0.006063908937333431
107,0.008541854375974938
108,0.0036115084280348786
